"","homocigoto","tipo_variante","cuantos_homo_tipo","gen","cuantos_homo_tipo_gen","conf","soporte_homo_tipo"
"69",0,"nonframeshift insertion",25,"ASPN",1,0.04,3.10992464030612e-05
"70",0,"nonframeshift insertion",25,"ATN1",1,0.04,3.10992464030612e-05
"71",0,"nonframeshift insertion",25,"ATXN1",2,0.08,3.10992464030612e-05
"72",0,"nonframeshift insertion",25,"C2orf71",1,0.04,3.10992464030612e-05
"73",0,"nonframeshift insertion",25,"CDK11A,CDK11B",1,0.04,3.10992464030612e-05
"74",0,"nonframeshift insertion",25,"CPS1",1,0.04,3.10992464030612e-05
"75",0,"nonframeshift insertion",25,"DCP1B",1,0.04,3.10992464030612e-05
"76",0,"nonframeshift insertion",25,"DYSF",1,0.04,3.10992464030612e-05
"77",0,"nonframeshift insertion",25,"EP400",1,0.04,3.10992464030612e-05
"78",0,"nonframeshift insertion",25,"FDFT1",1,0.04,3.10992464030612e-05
"79",0,"nonframeshift insertion",25,"HADHB",1,0.04,3.10992464030612e-05
"80",0,"nonframeshift insertion",25,"JPH3",1,0.04,3.10992464030612e-05
"81",0,"nonframeshift insertion",25,"KRTAP1-3",1,0.04,3.10992464030612e-05
"82",0,"nonframeshift insertion",25,"MAGI1",1,0.04,3.10992464030612e-05
"83",0,"nonframeshift insertion",25,"MN1",1,0.04,3.10992464030612e-05
"84",0,"nonframeshift insertion",25,"MUC3A",1,0.04,3.10992464030612e-05
"85",0,"nonframeshift insertion",25,"NR1H2",2,0.08,3.10992464030612e-05
"86",0,"nonframeshift insertion",25,"SUPT20HL1",1,0.04,3.10992464030612e-05
"87",0,"nonframeshift insertion",25,"SYNGR1",1,0.04,3.10992464030612e-05
"88",0,"nonframeshift insertion",25,"TBP",1,0.04,3.10992464030612e-05
"89",0,"nonframeshift insertion",25,"TSPYL1",1,0.04,3.10992464030612e-05
"90",0,"nonframeshift insertion",25,"ZIC2",1,0.04,3.10992464030612e-05
"91",0,"nonsynonymous SNV",146716,"A2M",38,0.000259003789634396,0.182510281410861
"92",0,"nonsynonymous SNV",146716,"A4GALT",108,0.000736116033697756,0.182510281410861
"93",0,"nonsynonymous SNV",146716,"A4GNT",18,0.000122686005616293,0.182510281410861
"94",0,"nonsynonymous SNV",146716,"AAAS",1,6.81588920090515e-06,0.182510281410861
"95",0,"nonsynonymous SNV",146716,"AADAC",1,6.81588920090515e-06,0.182510281410861
"96",0,"nonsynonymous SNV",146716,"AADACL2",65,0.000443032798058835,0.182510281410861
"97",0,"nonsynonymous SNV",146716,"AANAT",7,4.7711224406336e-05,0.182510281410861
"98",0,"nonsynonymous SNV",146716,"AARS",3,2.04476676027154e-05,0.182510281410861
"99",0,"nonsynonymous SNV",146716,"AARS2",42,0.000286267346438016,0.182510281410861
"100",0,"nonsynonymous SNV",146716,"ABAT",9,6.13430028081463e-05,0.182510281410861
"101",0,"nonsynonymous SNV",146716,"ABCA1",40,0.000272635568036206,0.182510281410861
"102",0,"nonsynonymous SNV",146716,"ABCA10",17,0.000115870116415388,0.182510281410861
"103",0,"nonsynonymous SNV",146716,"ABCA12",9,6.13430028081463e-05,0.182510281410861
"104",0,"nonsynonymous SNV",146716,"ABCA13",490,0.00333978570844352,0.182510281410861
"105",0,"nonsynonymous SNV",146716,"ABCA2",24,0.000163581340821724,0.182510281410861
"106",0,"nonsynonymous SNV",146716,"ABCA3",1,6.81588920090515e-06,0.182510281410861
"107",0,"nonsynonymous SNV",146716,"ABCA4",22,0.000149949562419913,0.182510281410861
"108",0,"nonsynonymous SNV",146716,"ABCA7",175,0.0011927806101584,0.182510281410861
"109",0,"nonsynonymous SNV",146716,"ABCB1",106,0.000722484255295946,0.182510281410861
"110",0,"nonsynonymous SNV",146716,"ABCB11",19,0.000129501894817198,0.182510281410861
"111",0,"nonsynonymous SNV",146716,"ABCB4",3,2.04476676027154e-05,0.182510281410861
"112",0,"nonsynonymous SNV",146716,"ABCB6",33,0.00022492434362987,0.182510281410861
"113",0,"nonsynonymous SNV",146716,"ABCC1",26,0.000177213119223534,0.182510281410861
"114",0,"nonsynonymous SNV",146716,"ABCC11",120,0.000817906704108618,0.182510281410861
"115",0,"nonsynonymous SNV",146716,"ABCC2",22,0.000149949562419913,0.182510281410861
"116",0,"nonsynonymous SNV",146716,"ABCC3",28,0.000190844897625344,0.182510281410861
"117",0,"nonsynonymous SNV",146716,"ABCC4",1,6.81588920090515e-06,0.182510281410861
"118",0,"nonsynonymous SNV",146716,"ABCC6",70,0.000477112244063361,0.182510281410861
"119",0,"nonsynonymous SNV",146716,"ABCC8",21,0.000143133673219008,0.182510281410861
"120",0,"nonsynonymous SNV",146716,"ABCC9",2,1.36317784018103e-05,0.182510281410861
"121",0,"nonsynonymous SNV",146716,"ABCD1",1,6.81588920090515e-06,0.182510281410861
"122",0,"nonsynonymous SNV",146716,"ABCD4",129,0.000879249706916764,0.182510281410861
"123",0,"nonsynonymous SNV",146716,"ABCG2",25,0.000170397230022629,0.182510281410861
"124",0,"nonsynonymous SNV",146716,"ABCG5",8,5.45271136072412e-05,0.182510281410861
"125",0,"nonsynonymous SNV",146716,"ABCG8",51,0.000347610349246163,0.182510281410861
"126",0,"nonsynonymous SNV",146716,"ABHD12",9,6.13430028081463e-05,0.182510281410861
"127",0,"nonsynonymous SNV",146716,"ABI3BP",20,0.000136317784018103,0.182510281410861
"128",0,"nonsynonymous SNV",146716,"ACACB",126,0.000858802039314049,0.182510281410861
"129",0,"nonsynonymous SNV",146716,"ACAD8",3,2.04476676027154e-05,0.182510281410861
"130",0,"nonsynonymous SNV",146716,"ACAD9",2,1.36317784018103e-05,0.182510281410861
"131",0,"nonsynonymous SNV",146716,"ACADL",1,6.81588920090515e-06,0.182510281410861
"132",0,"nonsynonymous SNV",146716,"ACADS",17,0.000115870116415388,0.182510281410861
"133",0,"nonsynonymous SNV",146716,"ACADSB",1,6.81588920090515e-06,0.182510281410861
"134",0,"nonsynonymous SNV",146716,"ACADVL",7,4.7711224406336e-05,0.182510281410861
"135",0,"nonsynonymous SNV",146716,"ACAN",65,0.000443032798058835,0.182510281410861
"136",0,"nonsynonymous SNV",146716,"ACAT2",6,4.08953352054309e-05,0.182510281410861
"137",0,"nonsynonymous SNV",146716,"ACBD5",61,0.000415769241255214,0.182510281410861
"138",0,"nonsynonymous SNV",146716,"ACCS",117,0.000797459036505903,0.182510281410861
"139",0,"nonsynonymous SNV",146716,"ACE",27,0.000184029008424439,0.182510281410861
"140",0,"nonsynonymous SNV",146716,"ACHE",18,0.000122686005616293,0.182510281410861
"141",0,"nonsynonymous SNV",146716,"ACKR1",118,0.000804274925706808,0.182510281410861
"142",0,"nonsynonymous SNV",146716,"ACLY",35,0.00023855612203168,0.182510281410861
"143",0,"nonsynonymous SNV",146716,"ACO2",1,6.81588920090515e-06,0.182510281410861
"144",0,"nonsynonymous SNV",146716,"ACP5",58,0.000395321573652499,0.182510281410861
"145",0,"nonsynonymous SNV",146716,"ACSF3",66,0.00044984868725974,0.182510281410861
"146",0,"nonsynonymous SNV",146716,"ACSL5",47,0.000320346792442542,0.182510281410861
"147",0,"nonsynonymous SNV",146716,"ACSM2A",81,0.000552087025273317,0.182510281410861
"148",0,"nonsynonymous SNV",146716,"ACSM2B",9,6.13430028081463e-05,0.182510281410861
"149",0,"nonsynonymous SNV",146716,"ACSM3",7,4.7711224406336e-05,0.182510281410861
"150",0,"nonsynonymous SNV",146716,"ACTN2",3,2.04476676027154e-05,0.182510281410861
"151",0,"nonsynonymous SNV",146716,"ACVR1",1,6.81588920090515e-06,0.182510281410861
"152",0,"nonsynonymous SNV",146716,"ACVR1B",1,6.81588920090515e-06,0.182510281410861
"153",0,"nonsynonymous SNV",146716,"ACVR1C",46,0.000313530903241637,0.182510281410861
"154",0,"nonsynonymous SNV",146716,"ACVR2B",1,6.81588920090515e-06,0.182510281410861
"155",0,"nonsynonymous SNV",146716,"ACVRL1",2,1.36317784018103e-05,0.182510281410861
"156",0,"nonsynonymous SNV",146716,"ADA",18,0.000122686005616293,0.182510281410861
"157",0,"nonsynonymous SNV",146716,"ADAM12",20,0.000136317784018103,0.182510281410861
"158",0,"nonsynonymous SNV",146716,"ADAM17",8,5.45271136072412e-05,0.182510281410861
"159",0,"nonsynonymous SNV",146716,"ADAM19",114,0.000777011368903187,0.182510281410861
